Asset	Market price	Change	Mkt cap	Volume
Bitcoin	₩103,132,883.01	+3.59%	₩2063.3T	₩63.0T
Ethereum	₩3,211,949.00	+5.53%	₩387.0T	₩31.8T
Tether	₩1,504.20	+0.05%	₩277.1T	₩124.4T
BNB	₩925,239.39	+1.79%	₩126.1T	₩2.7T
XRP	₩2,033.84	+3.17%	₩125.0T	₩3.0T
USDC	₩1,504.71	0.00%	₩116.2T	₩19.4T
Solana	₩125,477.87	+3.47%	₩71.8T	₩6.7T
TRON	₩475.48	-0.04%	₩45.0T	₩966.8B
Dogecoin	₩139.02	+2.33%	₩23.5T	₩1.7T
Hyperliquid	₩55,900.02	+3.71%	₩14.3T	₩508.5B
Bitcoin Cash	₩696,533.71	-1.18%	₩13.9T	₩513.6B
UNUS SED LEO	₩15,087.64	+0.37%	₩13.9T	₩655.1M
Cardano	₩372.83	+3.05%	₩13.5T	₩891.6B
Chainlink	₩13,573.49	+5.14%	₩9.6T	₩856.5B
Monero	₩506,695.79	+4.47%	₩9.4T	₩152.6B
Stellar Lumens	₩259.35	+4.68%	₩8.6T	₩167.8B
Canton	₩211.82	-4.69%	₩8.1T	₩23.1B
Dai	₩1,504.50	0.00%	₩8.1T	₩428.5B
World Liberty Financial USD	₩1,504.27	+0.07%	₩6.6T	₩1.6T
Litecoin	₩81,472.53	+1.58%	₩6.3T	₩414.8B
Zcash	₩372,306.10	+2.06%	₩6.2T	₩838.9B
Avalanche	₩13,811.96	+4.97%	₩6.0T	₩465.5B
PayPal USD	₩1,504.57	0.00%	₩5.9T	₩253.7B
Hedera	₩135.25	+5.80%	₩5.9T	₩171.9B
SHIBA INU	₩0.00902	+1.87%	₩5.3T	₩160.2B
SUI	₩1,341.63	+3.98%	₩5.3T	₩498.4B
Bittensor	₩467,146.74	+2.19%	₩5.0T	₩560.1B
MemeCore	₩3,694.52	+5.55%	₩4.7T	₩19.7B
Cronos	₩107.61	+3.45%	₩4.6T	₩14.5B
Toncoin	₩1,831.82	+0.08%	₩4.5T	₩112.8B
World Liberty Financial	₩150.49	+2.78%	₩4.3T	₩68.2B
Tether Gold	₩7,083,354.84	+3.78%	₩4.0T	₩865.5B
PAX Gold	₩7,119,074.22	+3.97%	₩3.7T	₩799.9B
Mantle	₩1,058.16	+3.12%	₩3.5T	₩57.2B
Uniswap	₩5,405.92	+3.65%	₩3.4T	₩291.2B
Polkadot	₩1,917.58	+3.41%	₩3.2T	₩199.6B
Global Dollar	₩1,504.64	+0.02%	₩2.8T	₩59.9B
Pi	₩265.81	+1.41%	₩2.7T	₩27.6B
OKB	₩126,487.01	+1.44%	₩2.7T	₩39.9B
Sky	₩111.83	+0.85%	₩2.6T	₩56.8B
Aster	₩1,022.36	+2.88%	₩2.5T	₩134.7B
NEAR Protocol	₩1,813.76	+3.12%	₩2.3T	₩287.6B
USDD	₩1,503.77	+0.01%	₩2.3T	₩8.6B
Aave	₩149,291.08	+3.29%	₩2.3T	₩346.7B
Pepe	₩0.005153	+3.63%	₩2.1T	₩449.2B
Bitget Token	₩2,960.17	+2.43%	₩2.1T	₩36.1B
Ondo	₩411.37	+6.02%	₩2.0T	₩124.4B
Ethereum Classic	₩12,427.76	+2.86%	₩1.9T	₩70.4B
Internet Computer	₩3,481.58	+3.14%	₩1.9T	₩81.9B
Ripple USD	₩1,504.36	-0.02%	₩1.9T	₩528.7B
