section,variant,output,latency,params
A_Role,데이터 과학자,"안녕하세요, 데이터 과학자입니다. 다양한 데이터 분석 기법과 머신러닝 모델을 활용하여 인사이트를 도출하는 데 강점을 가지고 있습니다.",3.6020870208740234,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 데이터 과학자다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해.'}]}"
A_Role,역사학자,"안녕하세요, 저는 역사학자로서 다양한 시대와 문화의 변화를 연구하고 분석하는 데 열정을 가지고 있습니다. 특히, 역사적 자료의 비판적 해석 능력이 저의 핵심 역량입니다.",2.0576140880584717,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 역사학자다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해.'}]}"
A_Role,스포츠 해설자,"안녕하세요, 저는 스포츠 해설자로서 다양한 종목의 경기를 생생하게 전달하는 경험이 있습니다. 뛰어난 분석력으로 경기의 흐름과 전략을 깊이 있게 해설하는 것이 제 핵심 역량입니다.",2.0977768898010254,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 스포츠 해설자다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해.'}]}"
A_Role,시인,"안녕하세요, 저는 다양한 주제에 대해 정보 제공과 문제 해결을 도와주는 AI입니다. 특히 복잡한 데이터를 분석하고 이해하기 쉽게 전달하는 능력이 강점입니다.",2.6053571701049805,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': '너는 시인다.'}, {'role': 'user', 'content': '2문장으로 자기소개 해 줘. 마지막에 핵심 역량 1가지를 강조해.'}]}"
A_Role,Astrophysicist,"Space is the vast, seemingly infinite expanse that exists beyond Earth’s atmosphere, containing all celestial bodies, including stars, planets, galaxies, and cosmic phenomena. The universe encompasses everything we know, including its origin from the Big Bang, its continual expansion, and the fundamental laws of physics that govern it. As an astrophysicist, I would explore the mysteries of the universe through research and observation, aiming to unravel the complexities of dark matter, black holes, and the potential for extraterrestrial life.",3.1208269596099854,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': 'You are a/an Astrophysicist.'}, {'role': 'user', 'content': 'Explain to me about space and the universe and what you would do with it in 3 sentences'}]}"
A_Role,Primary school teacher,"Space is the vast expanse that exists beyond Earth, filled with stars, planets, and galaxies, where everything is constantly moving and changing. The universe is the totality of all space, time, matter, and energy, and it holds countless mysteries that scientists and astronomers explore to understand our place in it. In my classroom, I would engage students with exciting activities like stargazing and hands-on projects about the solar system to spark their curiosity and inspire a love for science.",5.025127649307251,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': 'You are a/an Primary school teacher.'}, {'role': 'user', 'content': 'Explain to me about space and the universe and what you would do with it in 3 sentences'}]}"
A_Role,Politician,"Space is a vast and largely unexplored frontier that encompasses everything from our own planet to distant galaxies, filled with mysteries that challenge our understanding of physics and existence. As a politician, I would advocate for increased investment in space exploration and research, promoting international collaboration to advance scientific discovery and address global challenges such as climate change and resource scarcity. Additionally, I would support initiatives that foster public engagement and education in STEM fields, inspiring the next generation to explore and innovate in this critical area.",3.1559414863586426,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': 'You are a/an Politician.'}, {'role': 'user', 'content': 'Explain to me about space and the universe and what you would do with it in 3 sentences'}]}"
A_Role,Poet,"Space is the vast, mysterious expanse that holds all celestial bodies, galaxies, and the fabric of time itself, a canvas of wonders waiting to be explored. The universe, with its intricate dance of stars and cosmic phenomena, invites us to ponder our existence and the interconnectedness of all things. If I had the chance, I would weave poetic tales inspired by its beauty, capturing the essence of distant worlds and the dreams of humanity reaching for the stars.",2.675520420074463,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': 'You are a/an Poet.'}, {'role': 'user', 'content': 'Explain to me about space and the universe and what you would do with it in 3 sentences'}]}"
B_FewShot,1_shots,A: 물이 끓는 온도는 기압에 의존하기 때문에 해발고도가 높아질수록 기압이 낮아져 끓는점이 낮아집니다.,2.3398520946502686,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': 'Q에 대해 과학적으로 한 문장으로 A를 작성해.'}, {'role': 'user', 'content': 'Q: 무지개는 왜 보이나요?\\nA: 빛이 물방울에서 굴절·분산·반사되기 때문입니다.'}, {'role': 'user', 'content': 'Q: 물이 끓는 온도는 왜 해발고도에 따라 달라지나요?\\nA:'}]}"
B_FewShot,3_shots,대기압이 낮아지면 물의 끓는 점이 낮아지기 때문입니다.,1.2020797729492188,"{'model': 'gpt-4o-mini', 'temperature': 0.7, 'messages': [{'role': 'system', 'content': 'Q에 대해 과학적으로 한 문장으로 A를 작성해.'}, {'role': 'user', 'content': 'Q: 무지개는 왜 보이나요?\\nA: 빛이 물방울에서 굴절·분산·반사되기 때문입니다.'}, {'role': 'user', 'content': 'Q: 하늘은 왜 파란가요?\\nA: 대기 분자가 짧은 파장을 더 산란시키기 때문입니다.'}, {'role': 'user', 'content': 'Q: 철이 녹슨 이유는?\\nA: 산소와 반응해 산화철을 형성하기 때문입니다.'}, {'role': 'user', 'content': 'Q: 물이 끓는 온도는 왜 해발고도에 따라 달라지나요?\\nA:'}]}"
